SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5917 W Kennedy Dr,Fayetteville,AR,72704,1050000,4,3.5,West Haven Sub,3935,33928,2012,1,267,13,Active,,,https://www.redfin.com/AR/Fayetteville/5917-W-Kennedy-Dr-72704/home/126266882,NWARMLS,1245895,N,Y,36.1031305,-94.2452918
MLS Listing,,Single Family Residential,2360 N Caney Dr,Fayetteville,AR,72704,345000,3,2.0,Clearwood Crossings Sub,1622,9456,2010,1,213,,Active,,,https://www.redfin.com/AR/Fayetteville/2360-N-Caney-Dr-72704/home/126772639,NWARMLS,1245810,N,Y,36.0952507,-94.2090506
MLS Listing,,Single Family Residential,2933 N Acadiana Ct,Fayetteville,AR,72703,695415,4,3.0,Jackson Place,3759,27442,2005,1,185,,Active,,,https://www.redfin.com/AR/Fayetteville/2933-N-Acadiana-Ct-72703/home/126770629,NWARMLS,1245705,N,Y,36.1041111,-94.1191162
MLS Listing,,Single Family Residential,3173 Old Farmington Rd,Fayetteville,AR,72704,249000,2,2.5,Stadium Centre Cottages,1368,3406,2008,1,182,,Active,,,https://www.redfin.com/AR/Fayetteville/3173-W-Old-Farmington-Rd-72704/home/126344008,NWARMLS,1245965,N,Y,36.0529666,-94.2058512
MLS Listing,,Single Family Residential,1440 S River Meadows Dr,Fayetteville,AR,72701,600000,4,3.0,Stonebridge Meadows Ph I,3026,19602,2001,1,198,,Active,,,https://www.redfin.com/AR/Fayetteville/1440-S-River-Meadows-Dr-72701/home/126117287,NWARMLS,1245852,N,Y,36.0475026,-94.1049512
MLS Listing,,Single Family Residential,830 E Fairlane St,Fayetteville,AR,72701,347350,5,3.5,Creekside Meadows,2400,9583,2022,3,145,13,Active,,,https://www.redfin.com/AR/Fayetteville/830-E-Fairlane-St-72701/home/185413891,NWARMLS,1245927,N,Y,36.046117,-94.147579
MLS Listing,,Single Family Residential,854 E Fairlane St,Fayetteville,AR,72701,255450,3,2.0,Park Meadows,1209,5227,2023,3,211,21,Active,,,https://www.redfin.com/AR/Fayetteville/854-E-Fairlane-St-72701/home/185413787,NWARMLS,1245922,N,Y,36.045514,-94.14627
MLS Listing,,Single Family Residential,1185 S Lake Sequoyah Dr,Fayetteville,AR,72701,215000,3,1.0,Lewisbaldwin Rev,1052,19998,1967,3,204,,Active,,,https://www.redfin.com/AR/Fayetteville/1185-Lake-Sequoyah-Dr-72701/home/126118440,NWARMLS,1245404,N,Y,36.049147,-94.074841
MLS Listing,,Single Family Residential,444 N Goose Xing,Farmington,AR,72730,350000,4,2.0,Goose Creek Village,1796,10018,2023,4,195,,Active,,,https://www.redfin.com/AR/Farmington/444-Goose-Xing-72730/home/185409656,NWARMLS,1245899,N,Y,36.0636776,-94.2551049
MLS Listing,,Single Family Residential,448 N Goose Xing,Farmington,AR,72730,327000,3,2.0,Goose Creek Village,1678,10454,2023,4,195,,Active,,,https://www.redfin.com/AR/Farmington/448-Goose-Xing-72730/home/185404120,NWARMLS,1245896,N,Y,36.0636776,-94.2551049
