SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5408 Brighton Rd,Rogers,AR,72758,579900,4,3.0,Shadow Valley PUD Ph Vii Rogers,2641,9583,2008,1,220,,Active,,,https://www.redfin.com/AR/Rogers/5408-Brighton-Rd-72758/home/115031186,NWARMLS,1245853,N,Y,36.2838277,-94.2230636
MLS Listing,,Single Family Residential,2 Crestwood Dr,Rogers,AR,72756,685000,6,3.0,Summit Heights Rogers,4896,21344,1973,1,140,,Active,,,https://www.redfin.com/AR/Rogers/2-Crestwood-Dr-72756/home/115457565,NWARMLS,1244828,N,Y,36.3423739,-94.1043319
MLS Listing,,Single Family Residential,74 N Heffner Pl,Rogers,AR,72756,300000,3,2.0,Altons Brush Creek Hls Rogers,1563,35719,1970,1,192,,Active,,,https://www.redfin.com/AR/Rogers/74-Heffner-Pl-72756/home/114949642,NWARMLS,1245920,N,Y,36.3920461,-94.1149002
MLS Listing,,Single Family Residential,1402 W Ash St,Rogers,AR,72758,475000,4,3.5,Clower Sub Rogers,2490,9147,2017,1,191,,Active,,,https://www.redfin.com/AR/Rogers/1402-W-Ash-St-72758/home/115350201,NWARMLS,1245729,N,Y,36.3217577,-94.1385419
MLS Listing,,Single Family Residential,718 W Maple St,Rogers,AR,72756,525000,4,2.5,12-19-30-ROGERS,2085,11761,1999,3,252,,Active,May-20-2023 02:00 PM,May-20-2023 04:00 PM,https://www.redfin.com/AR/Rogers/718-W-Maple-St-72756/home/114671297,NWARMLS,1245874,N,Y,36.3352853,-94.1243316
MLS Listing,,Single Family Residential,822 W Olive St,Rogers,AR,72756,175000,2,1.0,,832,7405,,3,210,,Active,,,https://www.redfin.com/AR/Rogers/822-W-Olive-St-72756/home/114803348,NWARMLS,1245879,N,Y,36.3407085,-94.12637
MLS Listing,,Single Family Residential,7031 W Shadow Valley Rd,Rogers,AR,72758,1075000,4,4.0,Shadow Valley,3800,14374,2019,3,283,520,Active,,,https://www.redfin.com/AR/Rogers/7031-W-Shadow-Valley-Rd-72758/home/116492614,NWARMLS,1245702,N,Y,36.2853401,-94.2221426
MLS Listing,,Single Family Residential,2721 W Perry Rd,Rogers,AR,72758,3150000,4,3.0,,2885,208216,,4,1092,,Active,,,https://www.redfin.com/AR/Rogers/2721-W-Perry-Rd-72758/home/115929875,NWARMLS,1245545,N,Y,36.3021971,-94.1644741
MLS Listing,,Single Family Residential,1212 11th St,Rogers,AR,72756,295000,3,2.0,Hillcrest Add Rev Rogers,1699,17424,1967,4,174,,Active,,,https://www.redfin.com/AR/Rogers/1212-S-11th-St-72756/home/116244439,NWARMLS,1245788,N,Y,36.3225324,-94.1307867
MLS Listing,,Single Family Residential,15699 Putman Rd,Rogers,AR,72756,1880000,4,3.5,Townsends 2nd Add Rurban,3748,80586,1989,4,502,89,Active,,,https://www.redfin.com/AR/Rogers/15699-Putman-Rd-72756/home/114591424,NWARMLS,1245889,N,Y,36.3356024,-94.0343233
MLS Listing,,Single Family Residential,8073 Dolphin Cir,Rogers,AR,72756,350000,4,2.0,Beaver Shores Unit 2 Rurban,1372,40946,2021,4,255,,Active,,,https://www.redfin.com/AR/Rogers/8073-Dolphin-Cir-72756/home/115259368,NWARMLS,1245836,N,Y,36.3242987,-94.0223153
MLS Listing,,Single Family Residential,120 N Valley West Dr,Rogers,AR,72756,565000,3,4.5,Valley West Sub Rogers,3298,53143,1980,4,171,,Active,,,https://www.redfin.com/AR/Rogers/120-Valley-West-Dr-72756/home/115462709,NWARMLS,1245818,N,Y,36.3364648,-94.1629342
MLS Listing,,Single Family Residential,19033 Ar 303 Hwy,Rogers,AR,72756,715000,3,3.5,n/a,3725,787564,2003,4,192,,Active,,,https://www.redfin.com/AR/Rogers/19033-Highway-303-72756/home/115447229,NWARMLS,1245581,N,Y,36.317588,-93.959926
MLS Listing,,Single Family Residential,15597 Putman Rd,Rogers,AR,72756,475000,3,2.5,Townsends Add Rurban,2272,22651,1979,5,209,,Active,,,https://www.redfin.com/AR/Rogers/15597-Putman-Rd-72756/home/114750991,NWARMLS,1245610,N,Y,36.3375174,-94.0364379
MLS Listing,,Single Family Residential,922 S 19th St,Rogers,AR,72758,675000,3,2.0,Rosewood Add Rogers,2000,14810,1969,5,338,,Active,,,https://www.redfin.com/AR/Rogers/922-S-19th-St-72758/home/115763097,NWARMLS,1244540,N,Y,36.3242139,-94.1457385
MLS Listing,,Single Family Residential,4313 W Arlington Dr,Rogers,AR,72758,449900,3,2.5,Ridgecrest Meadows Ph 4 Rogers,2184,11761,2001,5,206,,Active,,,https://www.redfin.com/AR/Rogers/4313-W-Arlington-Dr-72758/home/114845855,NWARMLS,1245655,N,Y,36.2846391,-94.177575
MLS Listing,,Single Family Residential,2506 S D St,Rogers,AR,72758,315000,4,2.0,Wire Ridge Rogers,1482,6098,2021,5,213,,Active,,,https://www.redfin.com/AR/Rogers/2506-S-D-St-72758/home/176836204,NWARMLS,1245626,N,Y,36.302411,-94.1111242
MLS Listing,,Single Family Residential,815 N 14th Pl,Rogers,AR,72756,207900,3,1.0,Larimore & Garner,950,8712,,5,219,,Active,,,https://www.redfin.com/AR/Rogers/815-N-14th-Pl-72756/home/115187063,NWARMLS,1245575,N,Y,36.3427046,-94.1373365
MLS Listing,,Single Family Residential,15959 Hickory Dr,Rogers,AR,72756,304000,3,2.0,Beaver Shores Unit 4 Rurban,1769,9147,2000,6,172,,Active,,,https://www.redfin.com/AR/Rogers/15959-Hickory-Dr-72756/home/116125944,NWARMLS,1245370,N,Y,36.3229404,-94.0287777
MLS Listing,,Single Family Residential,8121 Timberlake Loop,Rogers,AR,72756,355000,2,2.0,Piney Point Add Rurban,1420,30927,2022,6,250,,Active,May-18-2023 05:00 PM,May-18-2023 07:00 PM,https://www.redfin.com/AR/Rogers/8121-Timberlake-Loop-72756/home/176842398,NWARMLS,1245467,N,Y,36.3171048,-93.9929241
MLS Listing,,Single Family Residential,55 W Buckingham Dr,Rogers,AR,72758,1770000,5,5.5,Pinnacle Sub Ph 4 Rogers,5472,22215,2014,7,323,50,Active,,,https://www.redfin.com/AR/Rogers/55-W-Buckingham-Dr-72758/home/115462937,NWARMLS,1245534,N,Y,36.3017485,-94.1985433
MLS Listing,,Single Family Residential,6108 W Pleasant Pl,Rogers,AR,72758,379000,3,2.0,Champions Estates Rogers,1752,8276,2000,7,216,13,Active,,,https://www.redfin.com/AR/Rogers/6108-W-Pleasant-Pl-72758/home/116140226,NWARMLS,1245335,N,Y,36.2900585,-94.2009648
