SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,803 SW 2nd St,Bentonville,AR,72712,638500,3,1.5,Westside Add Bentonville,1302,8276,,67,490,,Active,,,https://www.redfin.com/AR/Bentonville/803-SW-2nd-St-72712/home/115875237,NWARMLS,1240326,N,Y,36.3714635,-94.2197402
MLS Listing,,Single Family Residential,602 SE 8th St,Bentonville,AR,72712,899000,3,1.0,Autumn Wood Bentonville,1224,9583,,69,734,,Active,,,https://www.redfin.com/AR/Bentonville/602-SE-8th-St-72712/home/115965744,NWARMLS,1240748,N,Y,36.363913,-94.2028159
MLS Listing,,Single Family Residential,6306 SW Prism Path St,Bentonville,AR,72713,467500,4,3.0,Aurora,2396,7840,2023,70,195,140,Active,May-16-2023 03:00 PM,May-16-2023 06:00 PM,https://www.redfin.com/AR/Bentonville/6306-SW-Prism-Path-St-72713/home/181979413,NWARMLS,1240651,N,Y,36.311921,-94.25296
MLS Listing,,Single Family Residential,1071 Ventnor Ave,Centerton,AR,72719,229900,3,2.0,FEATHERSTON VILLAGE PH 1-CENTERTON,1093,2613,2023,73,210,75,Active,,,https://www.redfin.com/AR/Centerton/1071-Ventnor-Ave-72719/home/181971984,NWARMLS,1240517,N,Y,36.350221,-94.269282
MLS Listing,,Single Family Residential,4500 SW Culture St,Bentonville,AR,72713,419900,4,3.0,Osage Hills Sub Ph 1 Bentonville,2281,7405,2023,73,184,,Active,,,https://www.redfin.com/AR/Bentonville/4500-SW-Culture-St-72713/home/181979662,NWARMLS,1238942,N,Y,36.329171,-94.278084
MLS Listing,,Single Family Residential,106 NW Oz Village Dr,Bentonville,AR,72712,1200000,4,3.5,Oz Village,2609,2613,2022,75,460,250,Active,,,https://www.redfin.com/AR/Bentonville/106-NW-Oz-Village-Dr-72712/home/181610564,NWARMLS,1240310,N,Y,36.3810454,-94.209604
MLS Listing,,Single Family Residential,11671 Mill Dam Ct,Bentonville,AR,72713,595000,5,6.5,n/a,7764,134600,2007,76,77,,Active,,,https://www.redfin.com/AR/Bentonville/11671-Mill-Dam-Ct-72713/home/115990549,NWARMLS,1240198,N,Y,36.2605812,-94.2629479
MLS Listing,,Single Family Residential,1507 Bella Vista Rd,Bentonville,AR,72712,375000,3,2.0,Braithwaite Park Add Bentonville,1620,14810,,76,231,,Active,,,https://www.redfin.com/AR/Bentonville/1507-Bella-Vista-Rd-72712/home/115930489,NWARMLS,1239877,N,Y,36.390631,-94.2180785
MLS Listing,,Single Family Residential,410 NW 4th St,Bentonville,AR,72712,1250000,2,2.0,Demings Add Bentonville,1013,20037,,78,1234,,Active,,,https://www.redfin.com/AR/Bentonville/410-NW-4th-St-72712/home/115538389,NWARMLS,1240050,N,Y,36.3764037,-94.2137746
MLS Listing,,Single Family Residential,1301 B St,Bentonville,AR,72712,400000,3,1.5,Razorback Add Bentonville,1290,7840,,78,310,,Active,,,https://www.redfin.com/AR/Bentonville/1301-SW-B-St-72712/home/114983884,NWARMLS,1239983,N,Y,36.3578241,-94.2118329
MLS Listing,,Single Family Residential,3306 SW Rosemont Ave,Bentonville,AR,72713,524900,4,3.0,Woodlands Crossing Ph I Bentonville,2500,9147,2023,79,210,63,Active,,,https://www.redfin.com/AR/Bentonville/3306-SW-Rosemont-Ave-72713/home/176832772,NWARMLS,1239962,N,Y,36.328773,-94.249385
MLS Listing,,Single Family Residential,3304 SW Rosemont Ave,Bentonville,AR,72713,449900,4,2.0,Woodlands Crossing Ph I Bentonville,2070,7840,2023,81,217,63,Active,,,https://www.redfin.com/AR/Bentonville/3304-SW-Rosemont-Ave-72713/home/176832773,NWARMLS,1239895,N,Y,36.328771,-94.24915
MLS Listing,,Townhouse,202 SE A St,Bentonville,AR,72712,2100000,3,3.5,Railroad Add Bentonville,2740,2613,2016,81,766,,Active,,,https://www.redfin.com/AR/Bentonville/202-SE-A-St-72712/home/116408040,NWARMLS,1239767,N,Y,36.3703965,-94.2079536
MLS Listing,,Single Family Residential,10172 Sugar Creek Rd,Bentonville,AR,72712,539500,5,4.0,-,3506,39204,1994,81,154,,Active,,,https://www.redfin.com/AR/Bentonville/10172-Sugar-Creek-Rd-72712/home/115110318,NWARMLS,1239845,N,Y,36.4055619,-94.1555624
MLS Listing,,Single Family Residential,6302 SW Prism Path St,Bentonville,AR,72713,465075,4,3.0,Aurora,2385,6098,2023,82,195,140,Active,May-16-2023 03:00 PM,May-16-2023 06:00 PM,https://www.redfin.com/AR/Bentonville/6302-SW-Prism-Path-St-72713/home/181979415,NWARMLS,1239763,N,Y,36.312216,-94.252954
MLS Listing,,Single Family Residential,8571 Wagner Rd,Bentonville,AR,72713,1500000,3,2.0,Rural,2128,702187,,82,705,,Active,,,https://www.redfin.com/AR/Bentonville/8571-Wagner-Rd-72713/home/117014745,NWARMLS,1239710,N,Y,36.3200173,-94.3290526
MLS Listing,,Single Family Residential,6300 SW Prism Path St,Bentonville,AR,72713,489900,4,3.0,Aurora,2508,6098,2023,82,195,140,Active,May-16-2023 03:00 PM,May-16-2023 06:00 PM,https://www.redfin.com/AR/Bentonville/6300-SW-Prism-Path-St-72713/home/181979416,NWARMLS,1239654,N,Y,36.312353,-94.2529519
MLS Listing,,Single Family Residential,436 SW D St,Bentonville,AR,72712,1395000,5,4.0,Gilmores ADD Bentonville,3036,7840,2014,84,459,,Active,,,https://www.redfin.com/AR/Bentonville/436-SW-D-St-72712/home/116116778,NWARMLS,1238077,N,Y,36.3674073,-94.2141454
MLS Listing,,Single Family Residential,10994 Murdock Rd,Bentonville,AR,72713,372000,4,2.0,N/A,1978,43560,1982,85,188,,Active,,,https://www.redfin.com/AR/Bentonville/10994-Murdock-Rd-72713/home/115335482,NWARMLS,1239494,N,Y,36.274332,-94.2420051
MLS Listing,,Townhouse,402 SW B St,Bentonville,AR,72712,899000,3,3.0,T J HOLLANDS SUB-BENTONVILLE,1683,871,2022,86,534,450,Active,,,https://www.redfin.com/AR/Bentonville/402-SW-B-St-72712/home/183121979,NWARMLS,1234317,N,Y,36.3678174,-94.2117328
MLS Listing,,Single Family Residential,2010 SW Riverstone Rd,Bentonville,AR,72712,375000,3,2.5,Stone Meadow Add-Bentonville,2059,8712,2013,89,182,75,Active,,,https://www.redfin.com/AR/Bentonville/2010-SW-Riverstone-Rd-72713/home/116318396,NWARMLS,1239028,N,Y,36.3513698,-94.2493697
